name,category,description,prep_time,cook_time,serves,ingredients,instructions,energy_kj,fat_g,carbohydrates_g,protein_g,fibre_g,vitamin_a_mcg,iron_mg,zinc_mg,ingredients_2,instructions_2
"Kaimati
(Fried Dumplings)",common snacks,"""Kaimatis get their unique flavour from the style with which yeast is applied on wheat flour. This traditional breakfast dish or day snack is common among the Swahili and Bajuni communities and was inherited from Arab culture. It serves the whole family.""",20,30,4,"2 cups (280 g) wheat flour, refined;2 cups (447 g) water;� tsp. (3 g) vanilla essence, clear;� tsp. (1 g) cardamoms powder;1� tbsp. (12 g) yeast, dry;5 1/8 cups (1000 g) cooking oil;4 tbsp. (56 g) sugar","Put yeast in a small container.; Add 50ml of warmed water.; Add 4 tbsp. of sugar and allow to stand for 3 minutes.; Meanwhile, warm the rest of the water in a cooking pot.; Mix dry ingredients together; flour, cardamoms and vanilla essence in a bowl.; Add � cup (50 g) of oil into the mixture and rub in until finely absorbed.; Add the yeast preparation to the flour mixture, adding the lukewarm water gradually while mixing to a semi-solid consistency.; Cover with a dry towel/ cloth and allow to stand for 4 minutes until the dough rises.; In a pan put the rest of the oil and heat for 7 minutes or until the oil bubbles when a pinch of dough is dropped in the oil.; Shape the dough into round balls and put into the hot oil, keep turning to cook evenly.; Deep fry for 3-4 minutes.; Remove from oil.",1795,21.8,52.8,4.6,1.6,30,2.1,0.45,"1 cup (187 g) white sugar; � cup (116g) water; � tsp. (4 g) vanilla essence, clear","<sugar syrup>: Mix the sugar, water and vanilla essence in a cooking pan.; Put on the heat for 5 minutes.; Stir to prevent sugar from sticking on the sides of the pan; the mixture should be sticky.; Add the fried dumplings to the sugar syrup and stir to coat them in the syrup while still on the heat.; Swirl until the syrup covers all the dumplings.; Serve as desired."
"Mahamri
(Swahili Doughnuts)",common snacks,"""This is a typical traditional recipe among the Swahilis. A true delicacy enjoyed by the entire family, serves as a breakfast meal as well as a whole day snack. Mahamri has a unique taste influenced by the freshly squeezed coconut milk.""""""",60,5,4,"3 � cups (525 g) wheat flour, refined; � cup (181 g) coconut milk; 9 tbsp. (123 g) white sugar; 1� tbsp. (12 g) dry yeast; 1 tsp. (2 g) cardamom; � cups (182 g) water; 8 1/8 cups (1735 g) cooking oil","Break the coconut shell, drain the water and grate the flesh.; Squeeze the coconut milk from the grated coconut flesh using a cloth.; Set aside the thick coconut milk.; Add � cup of warm water to squeeze out any remaining milk.; In a bowl, mix a pinch of sugar with the yeast and add the � cup of water used to squeeze the last batch of coconut milk. Stir and set aside for 5 minutes for the yeast to rise.; In a separate bowl, mix the dry ingredients; sugar, flour and cardamoms.; Add the yeast mixture to the dry ingredients.; Add 4 tablespoons of oil and the thick coconut milk into the yeast and dry ingredients mixture.; Knead the dough as you add the remaining water to a firm feel.; Set the dough aside for 10 minutes for sugar to dissolve.
Cover with a cloth.; Knead the dough again to mix the sugar and to improve the
Texture.; Cover with a dry cloth and allow to stand for 30 minutes.; Divide the dough into small-medium size balls. Set them
aside and cover with a dry cloth for 15 minutes.; When well raised, roll out each ball into flat discs and cut
each into four triangle shaped portions.; Heat the remaining  oil for 15 minutes to 173�C.; Fry the mahamri and turn after 40 seconds. The mahamri will
turn golden brown when ready.; Remove the first batch of mahamri from oil and place onto
paper towels to drain the oil.; Continue frying the rest in batches until all are done.; Serve as desired.  ",1728,22.1,46.6,6.0,2.1,41,2.8,0.56,,
"Enriched Mandazi
(East African Doughnuts, Enriched)",common snacks,"A popular snack among urban dwellers across the country, enriched mandazi is a doughnut made with
eggs plus fresh milk and conditioned with margarine; it is a favourite breakfast item for the entire family.",45,30,4,"7 cups (1063 g) self-raising wheat flour; 3 eggs (179 g); 9 tbsp. (118 g) margarine; Rind from 2 lemons (15 g); � cup (144 g) sugar; � tsp. (2 g) salt, iodized; 7 cups (1039 g) cooking fat; 11/3 cups (289 g) cow milk; 1� cups (282 g) water","Put flour, salt, sugar and lemon rind into a bowl and
Mix.; Mix all the water with the milk and warm.; Add margarine into the dry ingredients and rub in.; Add eggs onto the dry ingredients and mix.; Add the warm diluted milk into the bowl and knead the mixture into a soft dough.; Cover the dough with a dump cloth for 40 minutes.;  Heat all the cooking fat in a pot for 10 minutes or until the oil bubbles when a pinch of dough is dropped in
the oil.; Roll out the dough into the desired thickness; about a
� of an inch thick.; Cut the dough into preferred shapes.;Gently drop the cut-out pieces into the hot oil.;Fry one side until golden brown and turn.;Remove from oil and place onto paper towels to drain
any excess oil.;Repeat the process with the rest of the pieces.;Serve as desired.",1590,16.1,49.9,7.6,2.2,90,3.3,0.66,,
"Maize Porridge
(Uji wa Mahindi)",porridges,"Whole maize flour has been used for many years by many communities in Kenya to prepare porridge.
Enriched with milk, it also serves as an infant dish. ",5,25,4,"1 �� cups (236 g) whole maize flour,
white; 7 cups (1513 g) water;1�� cups (330 g) cow milk","Put 5 cups of the water into the cooking pot, cover and
heat until it boils.;Meanwhile mix the maize flour with 2 cups cold water
separately. Use cold water to avoid forming lumps.;Stir until smooth.;Add the mixture into boiling water while stirring and
continue stirring to avoid forming lumps.;Allow to cook for 3 minutes.;Add milk and cook for a further 7 minutes.;Serve hot;",221,1.1,8.5,1.5,1.1,7,0.3,0.33,,
"Sorghum, Finger Millet and Maize Porridge",porridges,"This recipe is made from a mixture of 3 grains ground together into flour. It is rich in nutrients and is enriched with milk. Popular among many households in Kenya as a family dish, the porridge, serves infants/
children.",5,30,4,"8 tbsp. (83 g) sorghum flour, whole;6 �� tbsp. (68 g) finger millet flour,
whole;8 �� tbsp. (82 g) maize flour, whole,
white;1 2/3 cups (366 g) cow milk;7 �� cups (1833 g) water","Mix the whole maize flour, sorghum flour and finger millet into a bowl.;Add 2 cups of cold water into the flour mixture, stir
until smooth using a wooden cooking stick;Bring 5 cups of water to boil in a cooking pot.;After the water has boiled, add the mixture as you
stir. Keep stirring to avoid forming lumps.;Add milk after 10 minutes of cooking.;Keep stirring until cooked. If the porridge is too thick
add a little water (�� cup) or until desired consistency
is achieved.;Serve hot.",174,0.9,6.3,1.3,1.3,7,0.5,0.27,,
Cassava Porridge (Uji wa Muhogo),porridges,"The ancient cassava has been a traditional staple in most Kenyan communities, particularly Western and Coastal regions. Dried and ground into fine flour, cassava makes refreshing porridge for the entire family.",2,20,6,10 tbsp. (100 g) cassava flour;2 tbsp. (22 g) sugar;8 ½ cups (1840 g) water,"Boil 6 cups of water in a pot for 6 minutes.;In a separate bowl, add 2 ½ cups of water to the cassava flour and mix to a medium paste.;Add the paste to the boiling water and stir continuously until the mixture boils to prevent lumps.;Continue boiling for 13 minutes and add sugar.;Stir, remove and serve the porridge.",121,0.0,6.8,0.1,0.3,0,0.1,0.05,,
Pilau (Spiced Rice),rice dishes,"Pilau is the king of traditional rice cuisine among the Swahili community. Culturally, it is a must cook dish
on Friday particularly during lunch. It is enjoyed by the entire family and often served with tomatoes, onions
and chillies salad commonly known as (��kachumbari�� or salsa) and accompanied with a ripe banana.
This tastefully spiced dish is characterized by whole potatoes and meat chunks as key ingredients.",20,60,4,"3 1/3 cups (595 g) raw white rice;�� kg beef;10 seeds (1 g) cardamom, whole;5 sticks (3 g) cinnamon, whole;5 seeds (1 g) black pepper, whole;5 seeds (1 g) cloves, whole;6 tsp. (30 g) salt, iodized;2 tbsp. (11 g) cumin;4 potatoes, unpeeled, raw (840 g);3 onions, red skinned, unpeeled, raw (387 g);5 cloves (17 g) garlic, whole;1 root (23 g) ginger;�� green capsicum (115 g);62 g coriander, fresh;8 �� cups (1788 g) water;1 �� cups (293 g) cooking oil","Cut meat into medium size chunks.;Boil the meat in a large cooking pot with all the
water for 30 minutes, drain the water and set
both meat and water aside.;Prepare and chop onions and potatoes, grate
capsicum, pound coriander, crush garlic and
ginger.;Place each prepared ingredient in small separate
bowls.;Place each prepared ingredient in small separate
bowls.;Toast cardamom, cinnamon, cloves and black
pepper together until they produce an aroma.
Grind them.;Put oil into the pan used to boil the meat.;Add onions into the hot oil and cook for 5 minutes
until they brown (a golden-brown colour).;Add ginger and garlic. Stir.;Add all browned spices; cumin, black pepper,
cloves, cinnamon, cardamom after 3 minutes.;Add capsicum, coriander and potatoes after 1
minute and stir. Meanwhile, wash the rice.;Add rice and salt after 3 minutes and stir in to
properly mix the ingredients.;Add water drained from boiling the meat, stir the
rice and bring the mixture to boil for 25 minutes.;Add the cooked meat to the boiling mixture.
Cook for 30 minutes and serve.",895,9.4,24.8,6.9,1.1,5,1.3,1.24,,
Mseto wa Maharagwe (Rice with Beans),rice dishes,"��Mseto wa Maharagwe�� is the Swahili name for rice that is made with beans in one pot. It is a common
recipe among many communities in Kenya. Mainly prepared as a main meal during lunch time, it is eaten
by the whole family. Sometimes, this dish is eaten for supper.",165,225,6,"3 cups (505 g) kidney beans, raw;21 �� cups (4600 g) water;4 cups (684 g) raw white rice, long grain;1 large onion, red skinned, raw, unpeeled
(206 g);2 tomatoes, red, ripe, raw (226 g);1 �� cups (238 g) cooking oil;2 tbsp. (27 g) salt","Soak the beans in 13 �� cups of water for 2 hours
35 minutes.;Boil the soaked beans for 3 hours.;Peel, wash and cut onions and tomatoes separately.;Fry the onions in cooking oil until golden-brown,
add the tomatoes until they have cooked down to
a paste.;Add salt to taste.;Add the previously boiled beans and stir until
evenly mixed and well coated with the tomatoes.;Add 8 cups of water and let it boil.;Wash rice until water runs clear.;Add rice. When it starts boiling, reduce fire and let
it cook on low heat for 20 minutes.;Remove and serve hot.",807,7.9,23.5,5.0,3.8,3,1.3,0.76,,
Mseto wa Ndengu (Rice with Green Grams),rice dishes,"This recipe is named in Swahili ��Mseto wa Ndengu�� meaning a mix of green grams and rice. It is uniquely
prepared using freshly squeezed coconut milk. Very popular in the Kenyan coastal region, it is served to
infants and adults alike as a main meal during lunch or dinner. In other communities, this recipe is prepared
without coconut milk.",15,90,6,"3 �� cups (621 g) raw white rice;1 �� cups (242 g) green grams;�� cup (180 g) coconut milk;1 onion, red skinned, raw, unpeeled (77
g);�� tsp. (3 g) salt, iodized;13 cups (2832 g) water","Boil the green grams in 6 cups of water for 1 hour and
set aside.;Prepare and finely chop the onions.;In a separate cooking pot, add 7 cups of water.;Add chopped onion and salt to the water and bring to a
boil for 10 minutes.;Add the rice to the boiling mixture and cook until the
water starts to dry up.;Add the green grams and reduce heat. Cook for 8 minutes.;Add the coconut milk and stir after 2 minutes.;Leave covered over very low heat to dry for 10 minutes.;Turn off the heat and serve hot.",433,1.3,18.4,3.7,1.5,1,0.8,0.48,,
"Mukimo (Fresh Maize, Potatoes & Pumpkin Leaves)",mashed dishes,"This is a common dish among the Kikuyu, Meru and Embu communities. Often eaten for lunch or dinner, it
can be served with meat stew. This dish is served as a main meal to the whole family.",15,75,4,"6 potatoes, unpeeled, Irish, raw (876g);4 bunches (31 g) pumpkin leaves;2 �� cups (479 g) green maize, white, boiled;2 cups (453 g) water;2 �� tsp. (12 g) salt, iodized","Peel the potatoes and wash.;Wash the pumpkin leaves and chop finely;Put 2 cups of water into a pot. Add the potatoes,
pumpkin leaves and salt.;Cover the pot and boil the mixture for 20 minutes.;Add the boiled maize and cover to cook for 10
minutes.;Remove from fire and mash to serve.",457,1.0,18.5,3.0,6.8,14,1.6,0.93,,
